timestep,producer,phi,theta,FILES
0.000299964391161,cview_0,-108,-90,RenderView1/0.000299964391161/-108/-90.png
0.000299964391161,cview_0,-108,-54,RenderView1/0.000299964391161/-108/-54.png
0.000299964391161,cview_0,-108,-18,RenderView1/0.000299964391161/-108/-18.png
0.000299964391161,cview_0,-108,18,RenderView1/0.000299964391161/-108/18.png
0.000299964391161,cview_0,-108,54,RenderView1/0.000299964391161/-108/54.png
0.000299964391161,cview_0,-36,-90,RenderView1/0.000299964391161/-36/-90.png
0.000299964391161,cview_0,-36,-54,RenderView1/0.000299964391161/-36/-54.png
0.000299964391161,cview_0,-36,-18,RenderView1/0.000299964391161/-36/-18.png
0.000299964391161,cview_0,-36,18,RenderView1/0.000299964391161/-36/18.png
0.000299964391161,cview_0,-36,54,RenderView1/0.000299964391161/-36/54.png
0.000299964391161,cview_0,36,-90,RenderView1/0.000299964391161/36/-90.png
0.000299964391161,cview_0,36,-54,RenderView1/0.000299964391161/36/-54.png
0.000299964391161,cview_0,36,-18,RenderView1/0.000299964391161/36/-18.png
0.000299964391161,cview_0,36,18,RenderView1/0.000299964391161/36/18.png
0.000299964391161,cview_0,36,54,RenderView1/0.000299964391161/36/54.png
0.000299964391161,cview_0,108,-90,RenderView1/0.000299964391161/108/-90.png
0.000299964391161,cview_0,108,-54,RenderView1/0.000299964391161/108/-54.png
0.000299964391161,cview_0,108,-18,RenderView1/0.000299964391161/108/-18.png
0.000299964391161,cview_0,108,18,RenderView1/0.000299964391161/108/18.png
0.000299964391161,cview_0,108,54,RenderView1/0.000299964391161/108/54.png
0.000400086544687,cview_0,-180,-90,RenderView2/0.000400086544687/-180/-90.png
0.000400086544687,cview_0,-180,-54,RenderView2/0.000400086544687/-180/-54.png
0.000400086544687,cview_0,-180,-18,RenderView2/0.000400086544687/-180/-18.png
0.000400086544687,cview_0,-180,18,RenderView2/0.000400086544687/-180/18.png
0.000400086544687,cview_0,-180,54,RenderView2/0.000400086544687/-180/54.png
0.000400086544687,cview_0,-108,-90,RenderView2/0.000400086544687/-108/-90.png
0.000400086544687,cview_0,-108,-54,RenderView2/0.000400086544687/-108/-54.png
0.000400086544687,cview_0,-108,-18,RenderView2/0.000400086544687/-108/-18.png
0.000400086544687,cview_0,-108,18,RenderView2/0.000400086544687/-108/18.png
0.000400086544687,cview_0,-108,54,RenderView2/0.000400086544687/-108/54.png
0.000400086544687,cview_0,-36,-90,RenderView2/0.000400086544687/-36/-90.png
0.000400086544687,cview_0,-36,-54,RenderView2/0.000400086544687/-36/-54.png
0.000400086544687,cview_0,-36,-18,RenderView2/0.000400086544687/-36/-18.png
0.000400086544687,cview_0,-36,18,RenderView2/0.000400086544687/-36/18.png
0.000400086544687,cview_0,-36,54,RenderView2/0.000400086544687/-36/54.png
0.000400086544687,cview_0,36,-90,RenderView2/0.000400086544687/36/-90.png
0.000400086544687,cview_0,36,-54,RenderView2/0.000400086544687/36/-54.png
0.000400086544687,cview_0,36,-18,RenderView2/0.000400086544687/36/-18.png
0.000400086544687,cview_0,36,18,RenderView2/0.000400086544687/36/18.png
0.000400086544687,cview_0,36,54,RenderView2/0.000400086544687/36/54.png
0.000400086544687,cview_0,108,-90,RenderView2/0.000400086544687/108/-90.png
0.000400086544687,cview_0,108,-54,RenderView2/0.000400086544687/108/-54.png
0.000400086544687,cview_0,108,-18,RenderView2/0.000400086544687/108/-18.png
0.000400086544687,cview_0,108,18,RenderView2/0.000400086544687/108/18.png
0.000400086544687,cview_0,108,54,RenderView2/0.000400086544687/108/54.png
0.000400086544687,cview_0,-180,-90,RenderView1/0.000400086544687/-180/-90.png
0.000400086544687,cview_0,-180,-54,RenderView1/0.000400086544687/-180/-54.png
0.000400086544687,cview_0,-180,-18,RenderView1/0.000400086544687/-180/-18.png
0.000400086544687,cview_0,-180,18,RenderView1/0.000400086544687/-180/18.png
0.000400086544687,cview_0,-180,54,RenderView1/0.000400086544687/-180/54.png
0.000400086544687,cview_0,-108,-90,RenderView1/0.000400086544687/-108/-90.png
0.000400086544687,cview_0,-108,-54,RenderView1/0.000400086544687/-108/-54.png
0.000400086544687,cview_0,-108,-18,RenderView1/0.000400086544687/-108/-18.png
0.000400086544687,cview_0,-108,18,RenderView1/0.000400086544687/-108/18.png
0.000400086544687,cview_0,-108,54,RenderView1/0.000400086544687/-108/54.png
0.000400086544687,cview_0,-36,-90,RenderView1/0.000400086544687/-36/-90.png
0.000400086544687,cview_0,-36,-54,RenderView1/0.000400086544687/-36/-54.png
0.000400086544687,cview_0,-36,-18,RenderView1/0.000400086544687/-36/-18.png
0.000400086544687,cview_0,-36,18,RenderView1/0.000400086544687/-36/18.png
0.000400086544687,cview_0,-36,54,RenderView1/0.000400086544687/-36/54.png
0.000400086544687,cview_0,36,-90,RenderView1/0.000400086544687/36/-90.png
0.000400086544687,cview_0,36,-54,RenderView1/0.000400086544687/36/-54.png
0.000400086544687,cview_0,36,-18,RenderView1/0.000400086544687/36/-18.png
0.000400086544687,cview_0,36,18,RenderView1/0.000400086544687/36/18.png
0.000400086544687,cview_0,36,54,RenderView1/0.000400086544687/36/54.png
0.000400086544687,cview_0,108,-90,RenderView1/0.000400086544687/108/-90.png
0.000400086544687,cview_0,108,-54,RenderView1/0.000400086544687/108/-54.png
0.000400086544687,cview_0,108,-18,RenderView1/0.000400086544687/108/-18.png
0.000400086544687,cview_0,108,18,RenderView1/0.000400086544687/108/18.png
0.000400086544687,cview_0,108,54,RenderView1/0.000400086544687/108/54.png
0.000499919231515,cview_0,-180,-90,RenderView2/0.000499919231515/-180/-90.png
0.000499919231515,cview_0,-180,-54,RenderView2/0.000499919231515/-180/-54.png
0.000499919231515,cview_0,-180,-18,RenderView2/0.000499919231515/-180/-18.png
0.000499919231515,cview_0,-180,18,RenderView2/0.000499919231515/-180/18.png
0.000499919231515,cview_0,-180,54,RenderView2/0.000499919231515/-180/54.png
0.000499919231515,cview_0,-108,-90,RenderView2/0.000499919231515/-108/-90.png
0.000499919231515,cview_0,-108,-54,RenderView2/0.000499919231515/-108/-54.png
0.000499919231515,cview_0,-108,-18,RenderView2/0.000499919231515/-108/-18.png
0.000499919231515,cview_0,-108,18,RenderView2/0.000499919231515/-108/18.png
0.000499919231515,cview_0,-108,54,RenderView2/0.000499919231515/-108/54.png
0.000499919231515,cview_0,-36,-90,RenderView2/0.000499919231515/-36/-90.png
0.000499919231515,cview_0,-36,-54,RenderView2/0.000499919231515/-36/-54.png
0.000499919231515,cview_0,-36,-18,RenderView2/0.000499919231515/-36/-18.png
0.000499919231515,cview_0,-36,18,RenderView2/0.000499919231515/-36/18.png
0.000499919231515,cview_0,-36,54,RenderView2/0.000499919231515/-36/54.png
0.000499919231515,cview_0,36,-90,RenderView2/0.000499919231515/36/-90.png
0.000499919231515,cview_0,36,-54,RenderView2/0.000499919231515/36/-54.png
0.000499919231515,cview_0,36,-18,RenderView2/0.000499919231515/36/-18.png
0.000499919231515,cview_0,36,18,RenderView2/0.000499919231515/36/18.png
0.000499919231515,cview_0,36,54,RenderView2/0.000499919231515/36/54.png
0.000499919231515,cview_0,108,-90,RenderView2/0.000499919231515/108/-90.png
0.000499919231515,cview_0,108,-54,RenderView2/0.000499919231515/108/-54.png
0.000499919231515,cview_0,108,-18,RenderView2/0.000499919231515/108/-18.png
0.000499919231515,cview_0,108,18,RenderView2/0.000499919231515/108/18.png
0.000499919231515,cview_0,108,54,RenderView2/0.000499919231515/108/54.png
0.000499919231515,cview_0,-180,-90,RenderView1/0.000499919231515/-180/-90.png
0.000499919231515,cview_0,-180,-54,RenderView1/0.000499919231515/-180/-54.png
0.000499919231515,cview_0,-180,-18,RenderView1/0.000499919231515/-180/-18.png
0.000499919231515,cview_0,-180,18,RenderView1/0.000499919231515/-180/18.png
0.000499919231515,cview_0,-180,54,RenderView1/0.000499919231515/-180/54.png
0.000499919231515,cview_0,-108,-90,RenderView1/0.000499919231515/-108/-90.png
0.000499919231515,cview_0,-108,-54,RenderView1/0.000499919231515/-108/-54.png
0.000499919231515,cview_0,-108,-18,RenderView1/0.000499919231515/-108/-18.png
0.000499919231515,cview_0,-108,18,RenderView1/0.000499919231515/-108/18.png
0.000499919231515,cview_0,-108,54,RenderView1/0.000499919231515/-108/54.png
0.000499919231515,cview_0,-36,-90,RenderView1/0.000499919231515/-36/-90.png
0.000499919231515,cview_0,-36,-54,RenderView1/0.000499919231515/-36/-54.png
0.000499919231515,cview_0,-36,-18,RenderView1/0.000499919231515/-36/-18.png
0.000499919231515,cview_0,-36,18,RenderView1/0.000499919231515/-36/18.png
0.000499919231515,cview_0,-36,54,RenderView1/0.000499919231515/-36/54.png
0.000499919231515,cview_0,36,-90,RenderView1/0.000499919231515/36/-90.png
0.000499919231515,cview_0,36,-54,RenderView1/0.000499919231515/36/-54.png
0.000499919231515,cview_0,36,-18,RenderView1/0.000499919231515/36/-18.png
0.000499919231515,cview_0,36,18,RenderView1/0.000499919231515/36/18.png
0.000499919231515,cview_0,36,54,RenderView1/0.000499919231515/36/54.png
0.000499919231515,cview_0,108,-90,RenderView1/0.000499919231515/108/-90.png
0.000499919231515,cview_0,108,-54,RenderView1/0.000499919231515/108/-54.png
0.000499919231515,cview_0,108,-18,RenderView1/0.000499919231515/108/-18.png
0.000499919231515,cview_0,108,18,RenderView1/0.000499919231515/108/18.png
0.000499919231515,cview_0,108,54,RenderView1/0.000499919231515/108/54.png
0.000599935126957,cview_0,-180,-90,RenderView2/0.000599935126957/-180/-90.png
0.000599935126957,cview_0,-180,-54,RenderView2/0.000599935126957/-180/-54.png
0.000599935126957,cview_0,-180,-18,RenderView2/0.000599935126957/-180/-18.png
0.000599935126957,cview_0,-180,18,RenderView2/0.000599935126957/-180/18.png
0.000599935126957,cview_0,-180,54,RenderView2/0.000599935126957/-180/54.png
0.000599935126957,cview_0,-108,-90,RenderView2/0.000599935126957/-108/-90.png
0.000599935126957,cview_0,-108,-54,RenderView2/0.000599935126957/-108/-54.png
0.000599935126957,cview_0,-108,-18,RenderView2/0.000599935126957/-108/-18.png
0.000599935126957,cview_0,-108,18,RenderView2/0.000599935126957/-108/18.png
0.000599935126957,cview_0,-108,54,RenderView2/0.000599935126957/-108/54.png
0.000599935126957,cview_0,-36,-90,RenderView2/0.000599935126957/-36/-90.png
0.000599935126957,cview_0,-36,-54,RenderView2/0.000599935126957/-36/-54.png
0.000599935126957,cview_0,-36,-18,RenderView2/0.000599935126957/-36/-18.png
0.000599935126957,cview_0,-36,18,RenderView2/0.000599935126957/-36/18.png
0.000599935126957,cview_0,-36,54,RenderView2/0.000599935126957/-36/54.png
0.000599935126957,cview_0,36,-90,RenderView2/0.000599935126957/36/-90.png
0.000599935126957,cview_0,36,-54,RenderView2/0.000599935126957/36/-54.png
0.000599935126957,cview_0,36,-18,RenderView2/0.000599935126957/36/-18.png
0.000599935126957,cview_0,36,18,RenderView2/0.000599935126957/36/18.png
0.000599935126957,cview_0,36,54,RenderView2/0.000599935126957/36/54.png
0.000599935126957,cview_0,108,-90,RenderView2/0.000599935126957/108/-90.png
0.000599935126957,cview_0,108,-54,RenderView2/0.000599935126957/108/-54.png
0.000599935126957,cview_0,108,-18,RenderView2/0.000599935126957/108/-18.png
0.000599935126957,cview_0,108,18,RenderView2/0.000599935126957/108/18.png
0.000599935126957,cview_0,108,54,RenderView2/0.000599935126957/108/54.png
0.000599935126957,cview_0,-180,-90,RenderView1/0.000599935126957/-180/-90.png
0.000599935126957,cview_0,-180,-54,RenderView1/0.000599935126957/-180/-54.png
0.000599935126957,cview_0,-180,-18,RenderView1/0.000599935126957/-180/-18.png
0.000599935126957,cview_0,-180,18,RenderView1/0.000599935126957/-180/18.png
0.000599935126957,cview_0,-180,54,RenderView1/0.000599935126957/-180/54.png
0.000599935126957,cview_0,-108,-90,RenderView1/0.000599935126957/-108/-90.png
0.000599935126957,cview_0,-108,-54,RenderView1/0.000599935126957/-108/-54.png
0.000599935126957,cview_0,-108,-18,RenderView1/0.000599935126957/-108/-18.png
0.000599935126957,cview_0,-108,18,RenderView1/0.000599935126957/-108/18.png
0.000599935126957,cview_0,-108,54,RenderView1/0.000599935126957/-108/54.png
